name,albumID,trackNumber,releaseDate,spotifyURL
My Love,3311,1,2014-01-01,spotify:track:0idc0XRnLRovVqpWnGQ6hC
All Time Low,3312,3,2016-06-10,spotify:track:1CnPYaKxTVb4LWOtiGOm0m
The Breaking Point - 2015 Remaster,735,11,2015-06-05,spotify:track:21bM5kXcPqoIYPlhr1pWkB
I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,3313,8,2012-09-18,spotify:track:2fytePz8UsbUr8n33QBEcm
Back Off Boogaloo,3314,12,1974,spotify:track:25Cv6pteVL6Wm4GIvPCFnO
Standing With You,3315,1,2020-06-26,spotify:track:3NagMImAXyeYaMsXs2bjqt
22,3316,1,2012-01-01,spotify:track:0fuP0ykgrDSxk5odNU7Gy2
Paradise City,3317,6,1987-07-21,spotify:track:3YBZIN3rekqsKxbJc9FZko
Watermelon Sugar,3318,1,2019-11-17,spotify:track:1e9oZCCiX42nJl0AcqriVo
The Ocean (feat. Shy Martin),3319,1,2016-04-15,spotify:track:2CPqh63wRVscbceKcPxwvv
25 or 6 to 4 - 2002 Remaster,3320,14,1970-01-26,spotify:track:7GqIDx2QVGOpd4r1fZaUUW
Ferry Cross the Mersey - Mono Version; 1997 Remaster,3321,12,1965-02-01,spotify:track:4WsiGfiV4bPCa8jmnl5gnt
Out Of The Woods,3322,4,2014-01-01,spotify:track:0qUnBLZ8bJqUNEeQgayL9t
I Gotta Feeling,3089,5,2009-01-01,spotify:track:4kLLWz7srcuLKA7Et40PQR
The Sound,3323,13,2016-03-11,spotify:track:0DSVKdlgw5l1A2p1jQVSAJ
Lady Madonna - Remastered 2015,2390,20,2000-11-13,spotify:track:1raiIrqaqRAqZmQWZlLuBd
On My Own,3324,2,1986-01-01,spotify:track:5HrVgmO1govSOrPUehW1VV
Tattoo,3325,1,2007-11-20,spotify:track:3Ui2jdyxbZQrZohfM0NOgG
Cum on Feel the Noize,2407,1,1973-09-28,spotify:track:1agVrzicFWExgEiAtk8lmr
High,3326,6,1997-01-01,spotify:track:1KP6ieHBqTmEjqLy75gAEn
Livin' It Up,3327,3,2001-10-29,spotify:track:4r3MJuJIArZTQfOinh1HFa
No Promises (feat. Demi Lovato),3328,1,2017-03-31,spotify:track:1louJpMmzEicAn7lzDalPW
We Love You - Single Version/Mono,200,18,1966-01-01,spotify:track:5dDPFVD26G55XYYaKIexRS
I Knew You Were Waiting (For Me),3329,2,1986,spotify:track:0f6pHbsLzpWxl5CfhOUjBA
I'm Sorry,3330,9,1975-09,spotify:track:5opuphTIXgUUClEs5mnIQN
Give a Little Love,1472,4,2004-04-03,spotify:track:6yHr9BVVIvYbmMLWzXppbh
Anywhere Away From Here (Rag’n’Bone Man & P!nk),3331,1,2021-04-09,spotify:track:3sZWxtVuRc1Iet6ELwRz43
Symphony of Life,1135,9,2004-11-06,spotify:track:00QHQvdiK1uvCJcIClrFyP
Dreamlover,1230,5,2015-05-15,spotify:track:4FLZI7tQ5vjPKZ72rblySG
Way down We Go,3332,1,2015-08-07,spotify:track:7aUuoq4oMfLxaLa5GVUDHi
Punching In A Dream,3333,2,2010,spotify:track:56DahzmzLeMsmZYEOtPcCX
The Boy Is Mine,3334,3,1998-05-29,spotify:track:6sHsXIJoEN5JpdkGMQDJxt
Selling The Drama,4906,2,1994-01-01,spotify:track:5hE3T2329sdMmIrHxjhQDL
MONTERO (Call Me By Your Name),5922,1,2021-03-26,spotify:track:3BZEcbdtXQSo7OrvKRJ6mb
Massachusetts - Mono,1131,19,1968-02-01,spotify:track:54QN9vztCmMewuHjSlJVz6
Please Don't Go,3337,2,2010-08-09,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK
Don't Stop (Wiggle Wiggle) - OHB Radio Edit,3338,8,1994-01-01,spotify:track:59iinItceTkO05vu2Yf6kX
Let's Make A Night To Remember,4908,5,1999-01-01,spotify:track:0OptZhhWJpXkuSB7NWXBhq
Down in the Boondocks,3340,6,1965,spotify:track:2wTdZ6wy0AJp5LcYzWcVt5
What's Up? - Edit,3341,20,2015-07-03,spotify:track:3M2p6ih143unO1rVfezPBj
Trouble Trouble,3342,1,2016-06-03,spotify:track:3kiym836jU3q3eQhTRfayR
Demons,6178,4,2012-09-04,spotify:track:3LlAyCYU26dvFZBDUIMb7a
The Long And Winding Road - Remastered 2009,3343,10,1970-05-08,spotify:track:3mlMpmY8oZIBFc39D9zLbh
Perfect,3344,1,2015-10-16,spotify:track:3DnzEB8Ffnp5sjnCbOugUX
Don't Worry Be Happy,3030,7,2012-10-15,spotify:track:7uUMd6zu3nz1EcMn21ns1P
Miss You Love,34,5,1999-03-08,spotify:track:3y9zMGuxWS8xkpOxNPfiMZ
Banks of the Ohio,865,10,2018-06-08,spotify:track:6Sq8sCfsDR0345z088YFgU
Somewhere Only We Know,3345,1,2009-01-01,spotify:track:5LOaKdW9D2Gl9neAN94NbR
Beauty And A Beat,3346,10,2012-06-15,spotify:track:190jyVPHYjAqEaOGmMzdyk
Raindrops Keep Fallin On My Head,3347,1,1995-01-01,spotify:track:5vKM8TPIcXDDFlo82rlCgh
DJ Got Us Fallin' In Love,3348,1,2010-07-13,spotify:track:5tXyNhNcsnn7HbcABntOSf
R.I.P. (feat. Tinie Tempah),3349,4,2012-09-07,spotify:track:3ef0fg5FGImMaZFdUSd3DY
Shut Up And Drive,5770,5,2008-06-02,spotify:track:3m7Fne4xA0bsKzEaWbNucr
Dakota,5652,1,2008-01-01,spotify:track:2Q9V7buqRnWjMTujy8yMSC
Sorry Suzanne - 1998 Remaster,3352,6,2010-02-19,spotify:track:3vJSNF4QRZ2HZpZpsxecgu
No Pressure,3591,7,2015-11-13,spotify:track:10SDxx0CFWGqgVVBeX22TP
Rump Shaker,3353,5,2020-11-24,spotify:track:2IHlaL8ELuRSZGlbpsXG9m
Lie To Me (feat. Julia Michaels),3354,1,2018-12-21,spotify:track:6GzApXoBQiiAjak3tOQfV3
No More (Baby I'ma Do Right),3355,1,2000-11-06,spotify:track:5zn1hpm9N0ylKB7kOtpCw2
Telephone Booth,3356,2,1989,spotify:track:6AttjDR4ReXvNYFm9hLOlK
No Sleep,3357,9,2011-03-29,spotify:track:2kzRSiyignH8yzPTrWvyPo
Yeah! (feat. Lil Jon & Ludacris),1615,2,2004-03-23,spotify:track:5rb9QrpfcKFHM1EUbSIurX
Unconditionally,573,5,2013-10-18,spotify:track:4fwbGKNExPtPHbor1TBSY4
One Sweet Day,1921,3,1995-10-03,spotify:track:7ySbfLwdCwl1EM0zNCJZ38
Just So Lonely,3358,2,2009-01-01,spotify:track:3DN6cTbMSQ7gTqwDqYZFHN
Who Let The Dogs Out,3359,1,2000,spotify:track:1H5tvpoApNDxvxDexoaAUo
We've Got It Goin' On - Radio Edit,6467,1,1996-05-06,spotify:track:7qD9lD0dabABT6y3Vw3uVX
Take It Home,3360,1,2012-10-19,spotify:track:4YkA5jaaYGslmvPW0GXMXP
With A Girl Like You,3361,8,1966-07-25,spotify:track:3VGBUfN2EOVHJ4Y92yIh2f
In the Country,2274,8,1977,spotify:track:0HRaZyX9m7CMnaGqQ2NCwz
Running,4834,2,2006-07-08,spotify:track:62YHs3LqJQjThYg5R9dFIr
Have I Told You Lately - 2008 Remaster,3363,10,1991,spotify:track:6mIY6O7uNGgVqOoX70UAYh
Radioactive,3364,2,2010-10-19,spotify:track:33DxzZNm85rorgfnilllJg
Just Love You,3365,10,2021-07-09,spotify:track:2HuhUe6y5xpRVi3Ks3XwXg
Everybody (Backstreet's Back) - Radio Edit,2028,1,1997-08-12,spotify:track:1di1BEgJYzPvXUuinsYJGP
Confessions Of A Broken Heart (Daughter To Father) - Radio,3366,1,2005-01-01,spotify:track:3zAeo32M8GjbkOXz4VT6dj
7 Seconds (feat. Neneh Cherry),3367,5,1994-05-20,spotify:track:0PrlpSOlCkA1SJlqaSzpou
Violet Hill,7095,8,2008-06-19,spotify:track:6VEcyQiE2bXGaduwVINWHE
Trojans,3368,4,2013-02-18,spotify:track:0wDEiGfq4pw7FAkYKpkwMo
Morning Train (Nine to Five),3369,1,1995-04-01,spotify:track:6CEKntwndUlmWhSRflWA5X
Girlfriend - Radio Edit,3370,1,2007-02-27,spotify:track:5xv4ggemGPNpowZAMwEYHH
Paranoid,3371,5,2009-01-01,spotify:track:47iISk7pwBuQDWhGNbVzFt
Saved in a Bottle - Radio Edit,3372,1,2013-01-01,spotify:track:1o0fE0o08bIKX1mExyRQbz
Take Me Back,3373,3,1988-02-08,spotify:track:4yy9bqYoWZaU3VJjGDkHOw
She's Got You - Single Version,3374,1,1988-01-01,spotify:track:1NQCAC9lV9juokTcLPYm09
I See You Baby,3375,7,2010-09-10,spotify:track:2KfEJZxkThjpOEZhuKPOFG
One More Time (The Sunshine Song),3376,2,2000-04-16,spotify:track:5EkzyG7P6JQXQutM5TL8tP
Pretty Shining People,1422,1,2018-03-23,spotify:track:2JVwsN6viHjR9t5pCPQ4Br
One Headlight,6521,1,1996-01-01,spotify:track:4AmJpaF86079ZjFVVYhFbJ
Hang on Sloopy,3378,2,1965,spotify:track:27nSMBSuBs6b3OCEHPhXhu
Movin' Up,3379,6,1996-10-18,spotify:track:3Fh9ulCvZ1Ez4PEy4fMdO3
Hello,2720,5,2003-10-24,spotify:track:1pXtUVmSS3Aky3j6nQ4sQT
Love On Display,3380,1,2020-09-25,spotify:track:4kdar6ZbJg3lT0rVVNsUyv
Red Desert,3381,1,2020-03-27,spotify:track:0yFWdhx0rDU4zNddqvfu33
No Scrubs,3066,5,1999-02-23,spotify:track:1KGi9sZVMeszgZOWivFpxs
What About Me?,3382,6,2000-03-13,spotify:track:2fawfJtQdxcyJItlg2a4Ht
Most People I Know,3383,5,2007-02-06,spotify:track:6kwOrSwpr6R6kLtz82dpbI
Plans,2409,1,2010-07-23,spotify:track:1TZGMJxT3gPDkwZyfcc9ED
Jingle Jangle,3384,11,1968-01-15,spotify:track:1xpF92kg1hWLnkh3PGWEz4
From Yesterday,3244,7,2005,spotify:track:0Dx3pLp5cHb5RKvCNHKdlK
In The Flesh - Remastered 2001,3385,3,1976-12-01,spotify:track:4D7ZvtLOG19HmtqKC8l0BI
Adam's Song,3386,7,1999-01-01,spotify:track:5EauMVTXVoQOkax03XXVaV
Kyrie,7394,7,1985-11-27,spotify:track:5K3Q1gue9nWLLwh6bYQFoB
Exodus,3388,2,1993-02-09,spotify:track:4pKUJwmq9mYcs1KNUsqAHH
Move Your Body,3389,9,1999,spotify:track:43OdYMY7yMgBW3n5W4QQD9
Goosebumps - Remix,3390,1,2021-01-13,spotify:track:3xiVh7Be0tcpU8MBap62nm
Cousins,1517,7,2010-01-11,spotify:track:421g9amcUikSqmfuG8EwON
"I Do, I Do, I Do, I Do, I Do",4796,7,1975,spotify:track:0x5BKBAcia1th7UzcoHnD1
Solutions,3391,2,2009-09-04,spotify:track:2sy3y0825aefVtSJzuyOlA
Paralyzer,3392,1,2007,spotify:track:57paCKftbvFgAeG023x354
Joker And The Thief,7418,6,2006-01-01,spotify:track:2yoCk1xYdULGPV1143r7CB
Emotional Rescue - Remastered 2009,3394,8,1980-06-20,spotify:track:5IATbFZds3cbOx8YxuMuko
I Love Rock 'N' Roll,3395,7,2001-10-31,spotify:track:29viePXNqWUw1cxqzOcuOD
Need You Tonight,2408,4,2011-01-01,spotify:track:1sR4aKaHpLrc9u7g4ii90U
I'll Never Find Another You - Mono; 2009 Remaster,2918,1,2009-05-25,spotify:track:0DsSIgYP9q92m2DC9AiSyi
Downhearted - Remastered,3396,5,1980-01-01,spotify:track:4GMJtV7vvTjRSmCj7TpJsx
I've Got to Have You - 2015 Remaster,3397,13,2015-11-20,spotify:track:1qUIyn3tNfkIJzfgJeeKCu
Talking Body,3398,4,2015-10-02,spotify:track:10sqe2FD4eb8MovY8Nyaii
Listen to the Music,3399,1,1972,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5
Arthur's Theme (Best That You Can Do),3400,14,2020-02-14,spotify:track:7JrliUN3sfsROFTiczOIII
"Fallin' - Original Song from the TV Series ""The Secret Daughter""",3401,7,2017-10-06,spotify:track:4sOT0ksc174RY6GJUu8Wjy
About You Now,3402,1,2007-01-01,spotify:track:4gM6auSy5YoUSULkQmRuWZ
Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - 1998 Remastered,3403,6,1973-05-12,spotify:track:12UzVR0M7asW2MHAZRJk0I
She Said,3404,4,2010-04-09,spotify:track:5kVU4z9zL3M7w7EVhBBbEF
Antisocial (with Travis Scott),4308,7,2019-07-12,spotify:track:0Tdh0VTkzmPGeAQIXHYhVJ
Come Sail Away,3405,4,1977-01-01,spotify:track:0PsbWiVtix5FoTZ1s00mEl
Drink Too Much,3406,1,2019-01-18,spotify:track:5EzNQowUZrW8dd92HLvRsK
Thinking out Loud,3407,11,2013,spotify:track:1Slwb6dOYkBlWal1PGtnNg
Blueberry Hill,2450,6,1995-01-01,spotify:track:5kX3W7UC1gCmudip31Jn5U
Come And See Her,3408,4,1966-04-01,spotify:track:6bwY6k7dIZC14p8a3ELlGd
"Love Is All Around - From ""Four Weddings and a Funeral"" Original Motion Picture Soundtrack",3409,20,2013-11-25,spotify:track:1zdGSzFBBjrFBKftLesPeH
Diamonds,3410,1,2020-09-17,spotify:track:5hvwx5i67IwnCkjl9VHkNv
Disappear,678,7,2011-01-01,spotify:track:5qBZceO4REC6Gdouon1zjC
Rockit,3411,1,1983,spotify:track:2nWHzbBWBOePUvAImQv2So
Baby Don't Get Hooked on Me,3412,10,1972-09-09,spotify:track:4z51Gf7Ppt9Lmu5zmnUIz9
Pictures Of You,3413,1,2007-01-01,spotify:track:6V4y4uuMAxe2EYDIWNToaH
House of the Rising Sun,3414,15,2018-05-10,spotify:track:6DU7X9yhp4xgkhNHJxgEOZ
Coming Back,3415,1,2014-11-21,spotify:track:1EKS9Hd3S5E4omE43acvsi
S-S-S-Single Bed,3416,10,2012-07-02,spotify:track:5PoMpQ3ItAwMWCyHI7OpuO
Gives You Hell,6792,4,2008-01-01,spotify:track:5gb9UJkh8TfrNMRYOJNbew
Lean On Me,3418,1,2003-09-30,spotify:track:4bQGI1roeSr8Q85on2tQNU
Elevator (feat. Timbaland),3419,3,2008-03-17,spotify:track:44AtutBMMWw14r9CkZ0wna
Lay It All on Me (feat. Ed Sheeran),3420,13,2015-10-02,spotify:track:6splO3UF8hSmK33y5fJTNk
Bad Child,3421,1,2020-03-12,spotify:track:73QEvtBq1fNbMnlhQSFV9M
Chain Gang,3422,6,1961-03,spotify:track:7v1858htfU0srTDwhxeka8
Hotel California - 2013 Remaster,3423,17,2013-04-26,spotify:track:1ZA8L9IOkRhmmz4nPXXx7h
Primadonna,3424,2,2012-04-27,spotify:track:4sOX1nhpKwFWPvoMMExi3q
Now Or Never,3425,6,2017-06-02,spotify:track:0Nhu3zSYbEz32IYiobV75e
Small Bump,4486,6,2011-09-09,spotify:track:2sKgjO8vxk7znTpwNAptaW
Ode To My Family,3426,1,1994-10-03,spotify:track:1eQuRtkMEPhf2DGzpBVTE6
Beautiful Trauma,3427,1,2017-10-13,spotify:track:2GCCFm4IUNvWLyPEdk5U73
The Rockafeller Skank - Full Version,3428,2,1998-09-14,spotify:track:3Qvf812dY5JVlaZEbzI3nZ
Can We Fix It? (Opening Theme),3429,1,2017-04-07,spotify:track:5fs6uHSuhtfrYTyfp4uJzv
Just Like a Pill,2246,4,2010-11-12,spotify:track:0uNc5YAhFT2ssP50qWtbVi
"Can't Take My Eyes off of You - From ""Jersey Boys""",3430,18,2005-11-15,spotify:track:77IRyrOkpKBIlNQu59zdvX
Watch Yo Bitch (feat. H2O),3431,1,2021-05-28,spotify:track:0umt15SYRpRlkYbQLBzUvB
We Love - Original,3432,2,2011-01-01,spotify:track:1kU3wjrhiA3L20RLZAUBS4
I Wish It Would Rain Down - 2016 Remaster,3433,6,1989-11-20,spotify:track:4F2t297QK40XFcIHqkmLHs
Chunky,5771,2,2016-11-17,spotify:track:0mBKv9DkYfQHjdMcw2jdyI
Personal,2046,6,2014-10-10,spotify:track:1yHT4TeFm80QQgictSssmm
"Tom's Diner - 7"" Version",3434,2,2003-01-01,spotify:track:5oSCqtN7I9XjeMrnmN0fWW
Take It to the Limit - 2013 Remaster,201,6,1975-06-10,spotify:track:2cWHN0WK52RGAWHgaDamUA
Regulate,3435,1,1994-06-07,spotify:track:7nYvUtkQMx1v80S2FH2s9J
Like Lightning,3436,1,2016-09-16,spotify:track:0bJbaBvSzfvlVxycGD5ER1
She Got That O,3437,1,2015-05-15,spotify:track:5vxf01xQ1wZ0hpGtG5vMIM
Lovely Day,3438,8,2013-08-20,spotify:track:1QQRBPMzXbL4z26mnIvgZD
I Like The Way - Radio Edit,3439,2,2005-01-01,spotify:track:0YqdtgkhhcbzWQuBmN0Lik
Make Up Your Mind,3176,1,2009-01-01,spotify:track:2HSAgsSb8dtdiQAOzaCCN4
Bitter Tears,6694,9,2011-01-01,spotify:track:60mAZrH4y79jlSKGD6RoAl
Turn Up the Music,3441,1,2012-06-29,spotify:track:0UlHiqi7seV02XNHLMtfGK
You Sexy Thing - Radio Edit,3442,13,2008-07-26,spotify:track:5eRLl3t4hDq806TqdvJtU0
Mama's Little Girl,3443,4,1974,spotify:track:4BKB9YW3ymCode03eAG9iY
Believer,3803,4,2017-06-23,spotify:track:7Izh7zLJGw1Nscd62Exxj4
My Hero,3829,7,1997-05-20,spotify:track:4dVbhS6OiYvFikshyaQaCN
I Don't Feel Like Dancin' - Radio Edit,3444,1,2006-01-01,spotify:track:1qEHgdFqUxFebMPk8s2HLY
"When the Going Gets Tough, The Tough Get Going",506,1,2010-04-26,spotify:track:5UU5FbITNm5OunvHQdsKME
Rock Lobster,3445,4,1979-07-11,spotify:track:2Q5wSOwq6BDSu7sSVMNrtT
Underneath It All,2397,5,2001-12-11,spotify:track:3aePQpQPQ1k35NDvJ71YRd
All Your Exes,3446,1,2021-03-26,spotify:track:4hWc2hf2ViTAmhTvI8e4lv
Get Down On It,3447,2,1999-01-01,spotify:track:4cdOa74e9tBGA6FaVT5mgc
U Remind Me,3448,2,2001-08-07,spotify:track:2QsZVnbWVSjKMXK6K3uRBL
Ghost,2823,11,2021-03-19,spotify:track:5dPz35akJjPqb17yeqNwqH
Peaches N Cream (feat. Charlie Wilson),3449,6,2015-05-06,spotify:track:4lcpWCMFXNhvqNIQhB6yDv
Use Me,3438,10,2013-08-20,spotify:track:1k2ybm1oz7rVPchTKCgMMz
Locked Away (feat. Adam Levine),3450,2,2015-10-09,spotify:track:7x5xYW5W42OGPAdHUyyguy
Sexual,3451,1,2016-08-26,spotify:track:3AsAuGTaDQzavZZThyYlop
Go Let It Out,3452,2,2000-02-28,spotify:track:4AxSx0Sj1TcjcSpw90MigU
Came Here for Love,3453,1,2017-06-09,spotify:track:3kGfazcbVvVkuZunzlLgTD
Darlin' - 2011 Remaster,3454,4,1979-04-14,spotify:track:1QMpN6RQXXlwMycmCBwwQz
Daisy Petal Pickin',3876,11,2009-10-01,spotify:track:5oOFzaO8nJdDnFoSUax19p
Mr. Tambourine Man,3456,8,1965-03-22,spotify:track:3RkQ3UwOyPqpIiIvGVewuU
Hit 'Em Up Style (Oops!),3457,2,2001-01-18,spotify:track:4zYTZvtcww7OWKie7fxA9E
I Wouldn't Trade You For The World,3458,8,1999-01-01,spotify:track:7I8PL2ZXS5CjmU6QPpX9Oc
Current Stand,3459,2,1985,spotify:track:6H57i1EV2JfkpvYi4zO4E5
Bye Bye Bye,4262,1,2000-03-21,spotify:track:4r8lRYnoOGdEi6YyI5OC1o
Man on Mars,3460,8,2011-07-27,spotify:track:10YdhNF79cE9r9yyIDjot1
B-Boys & Fly Girls - Radio Edit,3461,2,2000-12-29,spotify:track:4rMpQ98ufDGEn2aPEdmlKQ
I Won't Back Down,3462,2,1989-01-01,spotify:track:0Ir0Esfpcg0EB6Kq8VbbAh
One Wish,3463,3,2012-10-29,spotify:track:6QON2WlAI1QayzhgebwvWd
With Arms Wide Open - New Version With Strings,3464,12,1999-01-01,spotify:track:0s8OMEGJQJIUr9VFwNEH1v
1999 - Edit,1035,1,2016-11-22,spotify:track:2cKIcepRj6NOc1bKGjHuSl
Find U Again (feat. Camila Cabello),3465,1,2019-05-30,spotify:track:1HpzOCZbNWzxvvXfSGtSrX
True Colours,3466,1,2003-01-01,spotify:track:6aRJ3Z7TpCpj58CjOwSSh2
Vogue,1111,3,2009-09-18,spotify:track:27QvYgBk0CHOVHthWnkuWt
I Want To Break Free - Single Remix,3467,2,1984-02-27,spotify:track:3Au6174rC3JSzZN5BhCl3D
Team,3468,1,2013-01-01,spotify:track:4SGPZVMQoFWSh2yvbThK2o
Best Day Of My Life,3469,3,2014-01-01,spotify:track:5Hroj5K7vLpIG4FNCRIjbP
Father Figure - Remastered,666,2,1987-10-30,spotify:track:0L0T4tMAaGqLgIVj1MOj9t
I Need a Girl (Pt. 1) [feat. Usher & Loon],3470,5,2005-10-04,spotify:track:7lVNTXkI3cHFvcXiI8damb
Broken-Hearted Girl,3471,8,2008,spotify:track:7zP67rufQgoODWFI45jntD
Lazy Sunday (Mono Version) (2018 Remaster),3472,6,2018-10-19,spotify:track:11jw9nN4jdQEb82hKJCgKG
Dancing With The Devil,3473,1,2021-03-26,spotify:track:2kONpeXXK70YEs7c0UQbmq
Side Effects (feat. Emily Warren),3474,1,2018-07-27,spotify:track:5yNEdBlZMxpcVtGKz5NFk5
Tell Me,3475,9,2012-01-01,spotify:track:7BlWK6ZJN4oYqlUKZBz4q0
If I Had You,965,8,2009-11-23,spotify:track:0H1OyEooZ5SzBYYdJEzxoy
Sundown,3476,7,1974,spotify:track:0SjnBEHZVXgCKvOrpvzL2k
Girl's Life,1620,1,1992-09-21,spotify:track:4nWuCWRHYgFucCKl39vZhQ
Nikita,3477,4,1985-11-07,spotify:track:5lBI9isMBEHRn5Wxde058W
I Just Don't Know What To Do With Myself,1996,4,2007-07-28,spotify:track:5xMlTMjTEtFEJu7mlp0uDc
Wild Eyes,3478,1,2020-10-09,spotify:track:5tmVLmIPoX8dqjW2oeUi98
Cosby Sweater,4723,3,2014-08-08,spotify:track:0o4ymDquSJdsx1CwXyRSow
Blank Space,3322,2,2014-01-01,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g
If I Said You Had A Beautiful Body Would You Hold It Against Me,3480,2,1992-03-16,spotify:track:7pRKbx3PYJmz36cp92hDIE
Foreplay / Long Time,6343,3,1976,spotify:track:39C5FuZ8C8M0QI8CrMsPkR
4 Seasons Of Loneliness,3481,3,1997-03-23,spotify:track:3hQ3u1yJvWKCOZzUHVzYxS
Let You Down,3482,6,2017-10-06,spotify:track:6mrKP2jyIQmM0rw6fQryjr
There's a Kind of Hush (All Over the World),3483,2,2019-02-15,spotify:track:4zGUDJ9K2pyJpfWoD1YfiJ
MIC Drop (feat. Desiigner) [Steve Aoki Remix],3484,1,2017-11-24,spotify:track:7Ed6BkggCS2KaKY5YlINaF
(If You're Not In It For Love) I'm Outta Here!,5250,4,1995-01-01,spotify:track:1tJ8nyy80jE07q5HYt8Xvc
I Knew You Were Waiting (For Me),3486,13,1998-11-09,spotify:track:1Gg5sm1IeeKK6GeV8WXbQl
Stayin' Alive,3487,1,1995-09-11,spotify:track:7pcjhiKODADooP7IFPgetr
You Make Me Wanna...,3488,1,1997-09-16,spotify:track:47TqCCnEliDp8NRDyIQoQq
1-2-3,3489,21,2005-10-18,spotify:track:5t6q0AC5pTGxCnLSg3qu4i
I'm Not Over,3490,1,2008-05-03,spotify:track:407vJkfEQMGDu1MVCWNnMX
The Lies In Your Eyes,2221,1,1976-02-16,spotify:track:3rJ4vGBVEjli56mpmpTWiD
Work - Freemasons Radio Edit,641,1,2007,spotify:track:4h9TZLHS7AZ30pt5c1o5Em
Memories,3491,1,2019-09-20,spotify:track:2b8fOow8UzyDFAE27YhOZM
Coming Home,3492,18,2010-01-01,spotify:track:47hs3xNT3iOGvgmC4eXBAi
Mean Woman Blues,936,8,2011-04-25,spotify:track:0xeSDTXE4yc7AyF5pleSe5
(Love Is) Thicker Than Water,3493,6,1977-09-09,spotify:track:5WdF8jm3hBNi1t9qlqdjsE
With A Little Help From My Friends,3494,9,1969-05-01,spotify:track:0YZ3J8xzGwLOg4yEgST1YK
How Can You Mend A Broken Heart,3495,1,1971-09,spotify:track:1jy0RbDHyBMTupSdc98XbG
I Hate the Music,100,4,2009-09-18,spotify:track:22yw6rIyhtDr08Dfh3ipwA
Steer,3496,3,2007,spotify:track:6NpO2qjMkMhmncI6hdhTH2
Cuddly Toy - 2007 Remaster,3497,2,2016-08-26,spotify:track:1AplEQktuV5nyVhBeQypu1
One In A Million,3498,1,2018-05-04,spotify:track:1Co9NGodpCCvWuIfe0PzIS
Heaven,3499,4,1984-11-05,spotify:track:4LOgi2TAAoKU9ImfzRrCPO
Goodness Gracious,6996,16,2014-01-01,spotify:track:0SIb6UH95eW0VCGj22IhFo
"Harder, Better, Faster, Stronger",3501,4,2001-03-12,spotify:track:5W3cjX2J3tjhG8zb6u0qHn
"Oh, Monah",1652,23,2018-08-17,spotify:track:6rziy8I9tEo84qHCHz2a79
In Your Room,1032,7,1994-11-28,spotify:track:2qXPtsP8KlbGeqAsWSdX22
Parlez Vous Francais,2508,2,2009-01-01,spotify:track:2RexMVjpaxZzPrXZwDv2sj
Hall of Fame (feat. will.i.am),3502,3,2012-09-10,spotify:track:7wMq5n8mYSKlQIGECKUgTX
Three Little Birds,3503,9,1977-06-03,spotify:track:6A9mKXlFRPMPem6ygQSt7z
Missing - Todd Terry Remix / Radio Edit,3504,10,2002-01-01,spotify:track:1IsvXZXAV9EBC4hBKW6yDN
Joy To The World,3505,1,2003-01-01,spotify:track:1VZ04sZSpTet7wVMyZphA8
Sky,3506,11,1999-10-21,spotify:track:1lskzydT4FspSI60plLSgV
Age of Reason,3507,1,1988-07-22,spotify:track:28mMAnwzlHLVMDz77jEDRM
Losing My Religion,3508,2,1991-03-12,spotify:track:31AOj9sFz2gM0O3hMARRBx
Amie,3509,6,1999-09-14,spotify:track:1mqydO6xMtyTPa8yo1SdVr
Groovin',3510,6,1967,spotify:track:3c2kMiSB86tVq1J4oULmvL
Confetti (feat. Saweetie),3511,1,2021-04-29,spotify:track:1iVS5CqbO8MirwvXndRltQ
"Fool, Fool, Fool",642,3,1988,spotify:track:3dNd4lCiUMnLpDhG6ziba9
Lay It All on Me (feat. Ed Sheeran),3512,1,2015-09-25,spotify:track:3853uIOwh2L9F8TkDd1F49
Tonight's the Night (Gonna Be Alright) - 2009 Remaster,3513,1,1976,spotify:track:10LRRKPmx8uHcSxLVWK0ct
The Agenda,1561,4,2012-09-04,spotify:track:6FObiTylavj1SjqKWjhE8K
Black Is Black,3514,1,2011-11-20,spotify:track:4f1k7D0TVAbmQsZIspTNdG
Let Me Down Slowly,3515,4,2018-11-16,spotify:track:2qxmye6gAegTMjLKEBoR3d
Someday Soon,3516,2,2009-02-20,spotify:track:1IGce0abNTN99uNhpRpUyc
If You Leave Me Can I Come Too?,4294,5,2015-10-02,spotify:track:6H9qQdK4DhPV0E1mIYAo4N
Hello (Let’s Go),310,6,2011-01-01,spotify:track:22HlzoAbV3ELj4Hb66axDV
Takeaway (feat. Lennon Stella),3517,1,2019-07-24,spotify:track:6wo37KVqFJhtuxPTpLCcfe
Tell Me You Love Me,3518,5,2017-09-15,spotify:track:5kgqTe1BM720OjU78TGYDw
Forever,3519,1,2008,spotify:track:4WCn0AgWKBJRjuFvHSfle8
Throw Your Hands Up (Dancar Kuduro) (Original Radio Edit),3520,1,2011-10-29,spotify:track:4G7KGkt4RfYqpvUsjXqKBL
Style,2757,3,2014-10-27,spotify:track:4cAXvxzp3q7NIg0gFXjjvi
