name,albumID,trackNumber,releaseDate,spotifyURL
C'mon N' Ride It (The Train),98,1,1996-06-18,spotify:track:2QLEN3RVunMas7j0PHjeAT
Super Love,99,1,2014-10-14,spotify:track:4AGkYEPy8SPf0JADQNsw2q
Love Is In The Air,100,12,2009-09-18,spotify:track:3c4OULLWwgRqBfA2dJtRuY
Forever Young,5762,8,2007-01-30,spotify:track:3tFECpGckFpp0HpQje78gi
For You (Fifty Shades Freed) (& Rita Ora),102,2,2018-02-09,spotify:track:66xn6tB8s3l8uhj02OGneE
Bad Habits,103,15,2009-03-19,spotify:track:070QivFOnOdtVznpnrUMCO
I Wanna Do It with You,100,5,2009-09-18,spotify:track:0a75KbBW12Hc8QtrD1gwAJ
The Man,104,4,2019-08-23,spotify:track:3RauEVgRgj1IuWdJ9fDs70
Maria,105,11,1994,spotify:track:1ofagnzl7oj7z1MtwGesHX
Overkill,106,2,1983,spotify:track:3iA4foXIFpekwHyma7pRs1
Life Goes On,107,1,2017-09-29,spotify:track:6XrWIKoIwqomse4ZmBnjQd
Stacy's Mom,108,3,2003-01-01,spotify:track:27L8sESb3KR79asDUBu8nW
How Can We Be Lovers,109,5,1989-06-27,spotify:track:0ZUjPkZKjzRi6bgIuJovfY
Teenage Crime,110,3,2012-01-01,spotify:track:46LTPfvrxlgNLyIGBup4O2
Danza Kuduro,111,12,2010-01-01,spotify:track:2a1o6ZejUi8U3wzzOtCOYw
Buy Me A Pony,112,10,2005-01-01,spotify:track:1iola53QSlUVnceCbxr15K
You're so Vain,113,7,2017-04-11,spotify:track:3PfERRzizJqTx0fuRmBgtH
Got to Get It,114,3,1993,spotify:track:0C3nGIOCvSsRwc0zpAJ9Db
Angels Like You,115,3,2020-11-27,spotify:track:0QdePZJfBpRIBautuT4FSx
Circles on the Water,116,1,2017-05-26,spotify:track:2EnaF6Nll7GTSAyaXvd2qW
Playboy,117,1,1962-01-01,spotify:track:3xgKCfRwbqie54nHtSLnhM
Part-Time Lover,6525,1,1985-09-13,spotify:track:0ErrsvDylBWZeAUYbqLllv
Night of My Life,119,1,2006-12-02,spotify:track:5lm8SfB4FoPbUcSDKTO8c4
